[Name],,
BLD GEO HIGH,,
,,
[Data],,
Radius [ m ], theta [ degree ], X [ m ]
0.220765874,1.846357226,0.02637513
0.220851883,1.440685987,0.02512941
0.222801313,3.45723629,0.031256158
0.222908735,3.041444302,0.029916795
0.223020986,2.610858202,0.028557634
0.223129854,2.177852392,0.027215766
0.223240599,1.753161788,0.025922693
0.223352447,1.341947317,0.024690356
0.225244626,3.392239809,0.030738449
0.225380376,2.961962938,0.029392725
0.225521728,2.516025066,0.028024958
0.225660965,2.068815947,0.026678579
0.225799456,1.634761453,0.025396176
0.225936323,1.22041142,0.024183879
0.227676868,3.312194586,0.030199826
0.227841124,2.864412069,0.028843736
0.228010699,2.398735762,0.02745509
0.228180781,1.932744622,0.026093636
0.228342712,1.489148259,0.024819508
0.228495494,1.075022221,0.023635281
0.230152622,3.228768587,0.029670304
0.23034583,2.763768911,0.028305033
0.230544597,2.278054237,0.026899204
0.230746463,1.79259932,0.025529779
0.230931953,1.340064526,0.024263876
0.231100589,0.926705539,0.023107914
0.232656866,3.142802477,0.029154159
0.232880786,2.660718441,0.027781807
0.233111009,2.15447402,0.026364174
0.233346403,1.650074005,0.024988011
0.233556822,1.189539075,0.023727551
0.233742565,0.776569068,0.022604728
0.235179886,3.055025578,0.028652379
0.23543489,2.556209087,0.027275791
0.235696733,2.029900074,0.025848847
0.235965684,1.507959366,0.02446305
0.236201093,1.039727092,0.023210192
0.236403644,0.627877712,0.022119544
0.237759188,2.964693308,0.028156923
0.238046095,2.449754953,0.026776444
0.23834078,1.903866529,0.025341576
0.238644287,1.364393592,0.023950513
0.238905042,0.889488995,0.022702482
0.239124402,0.479253829,0.021644801
0.24034144,2.874063015,0.027681323
0.240660653,2.343733311,0.026297882
0.240989193,1.778033614,0.024863526
0.24132742,1.222678423,0.02346231
0.241614178,0.740756989,0.022225365
0.241850585,0.331912339,0.021204624
0.242124215,2.811790466,0.027363621
0.242462441,2.271102667,0.025981747
0.242810905,1.692013144,0.024552481
0.243169487,1.126509428,0.023144035
0.243471235,0.639566541,0.021919904
0.243716657,0.232004881,0.020924402
0.243402883,2.767268181,0.02714207
0.243754581,2.219230652,0.025762873
0.244117051,1.630727887,0.024338474
0.244490042,1.058037043,0.022926303
0.244802341,0.567465365,0.021713203
0.245054066,0.160967037,0.020735335
0.244316027,2.73551178,0.026987443
0.24467738,2.182270288,0.025610836
0.245049939,1.587091804,0.024190769
0.245433271,1.009399533,0.022775987
0.245753199,0.516233683,0.021571547
0.246009424,0.110491775,0.020606522
0.244968012,2.712819815,0.026878802
0.245336249,2.155857801,0.025504446
0.24571602,1.555896163,0.024088088
0.246106714,0.974727333,0.022671031
0.246432066,0.479691863,0.021473145
0.246691599,0.074462488,0.0205175
0.245433494,2.696667671,0.02680227
0.245806709,2.137067556,0.025429795
0.246191651,1.533695936,0.024016567
0.246587649,0.950129569,0.022597583
0.246916935,0.453765899,0.021404643
0.247178793,0.048904758,0.020455839
0.245765805,2.685147047,0.026748121
0.246142596,2.123663425,0.025377115
0.246531218,1.517854214,0.023966342
0.246930987,0.93260932,0.022545798
0.247263074,0.435291231,0.021356527
0.247526631,0.03068896,0.020412661
0.246002987,2.676915407,0.026709685
0.246382311,2.114084959,0.02533979
0.246773601,1.5065341,0.023930842
0.247176051,0.920101702,0.022509107
0.24751015,0.422095358,0.021322528
0.247774899,0.017674429,0.020382201
0.246172309,2.67103672,0.026682362
0.246553451,2.107242584,0.025313288
0.246946603,1.498449087,0.02390567
0.247350991,0.911173463,0.022483056
0.24768649,0.412671894,0.021298438
0.247952104,0.008379023,0.020360643
0.246293157,2.666838408,0.026662916
0.246675581,2.102355957,0.025294445
0.247070089,1.492676497,0.023887785
0.247475818,0.904800594,0.022464532
0.247812361,0.405943513,0.021281337
0.248078585,0.001741475,0.020345347
0.246379405,2.663841009,0.026649065
0.246762753,2.09886694,0.025281033
0.247158214,1.488555551,0.023875058
0.247564927,0.900252044,0.022451349
0.247902185,0.401140004,0.021269178
0.248168871,-0.002997405,0.020334478
0.246440977,2.661701441,0.026639195
0.246824965,2.096375942,0.025271479
0.247221142,1.485613823,0.023865994
0.24762854,0.897005558,0.022441955
0.247966319,0.397710949,0.021260524
0.248233289,-0.006380432,0.020326745
0.246484905,2.660173893,0.026632156
0.246869385,2.094597578,0.025264669
0.247266009,1.483514309,0.023859533
0.247673944,0.894688249,0.022435261
0.248012081,0.395263135,0.021254359
0.248279288,-0.008795418,0.020321237
0.246516287,2.659083605,0.026627138
0.246901065,2.093328238,0.025259815
0.247298062,1.48201561,0.023854926
0.247706339,0.893034339,0.022430487
0.248044744,0.393515825,0.021249965
0.248312116,-0.010519342,0.020317312
0.246538654,2.658305168,0.026623556
0.2469237,2.092422009,0.025256352
0.247320935,1.480945826,0.023851642
0.247729465,0.891853988,0.022427082
0.24806805,0.392268866,0.021246834
0.24833554,-0.011749621,0.020314515
0.178080946,-6.713833332,0.000776361
0.178164259,-6.590118885,0.001165189
0.178130418,-6.590961456,0.001164066
0.178046986,-6.714698792,0.000775192
0.178280488,-6.418308735,0.001705215
0.178246766,-6.419115543,0.001704169
0.178427741,-6.200694561,0.002382369
0.178394213,-6.201449871,0.002381435
0.178602442,-5.942528248,0.003185658
0.178569108,-5.943218708,0.003184871
0.178802118,-5.647174835,0.004091193
0.178769037,-5.647787571,0.004090582
0.179042473,-5.320630074,0.005082224
0.179009661,-5.321156502,0.005081804
0.179301366,-4.967199326,0.006149702
0.179268837,-4.967631817,0.006149498
0.179580212,-4.593569279,0.007276683
0.17954801,-4.593906879,0.007276711
0.179872736,-4.203568459,0.008454019
0.179840863,-4.203807354,0.008454286
0.180185676,-3.800799608,0.009672021
0.18015416,-3.800938845,0.009672533
0.180511847,-3.384748697,0.010932253
0.180480659,-3.384788036,0.010933014
0.180861458,-2.956567764,0.012232764
0.180830672,-2.956506252,0.012233793
0.181225508,-2.512862921,0.013577709
0.181195125,-2.512694359,0.013579018
0.181612626,-2.058484077,0.014990378
0.181582615,-2.058212757,0.014992033
0.182022199,-1.597202063,0.016477682
0.18199265,-1.59683609,0.01647974
0.182448074,-1.132982612,0.018022619
0.182418957,-1.13252759,0.018025108
0.182873979,-0.660616934,0.019612379
0.182845324,-0.660074532,0.019615313
0.183267727,-0.177646518,0.021270389
0.183239505,-0.177021831,0.021273833
0.18367064,0.302080184,0.022991737
0.183642864,0.302765906,0.022995759
0.184066683,0.766446531,0.024746133
0.184039369,0.767174184,0.02475073
0.184434801,1.210754156,0.026494367
0.18440789,1.211483121,0.026499573
0.184788018,1.618559241,0.028206872
0.184761539,1.619244576,0.028212659
0.185113207,1.984365225,0.029835587
0.185087115,1.984978318,0.029841838
