R,Rho,Trr,Trt,Trz,Ttt,Tzt,Tzz,Z,Lamda
0.209138274,1.01750314,78188.375,8.42999649,1186.72021,78168.6406,-33.5018616,120311.211,-0.00218584412,1
0.209775865,1.01708257,78128.8125,6.84344578,1067.91223,78113.6172,-38.9057999,120349.289,-0.00220356043,1
0.210412487,1.01668906,78073.8438,5.52485418,946.569519,78062.8906,-43.8372612,120382.656,-0.00221847766,1
0.211047649,1.01636052,78028.0781,4.4784441,821.716553,78021.1875,-47.3722458,120409.359,-0.0022288519,1
0.21168378,1.01604235,77985.2969,3.58478975,694.902588,77981.9531,-50.2113991,120431.93,-0.00223746896,1
0.212318808,1.01573122,77944.1406,2.81835151,568.31488,77943.625,-52.9064255,120454.766,-0.00224607042,1
0.212952942,1.01542616,77904.5625,2.17433906,441.743927,77906.1563,-55.5535812,120477.109,-0.00225437852,1
0.213589057,1.01516294,77871.6484,1.71260154,313.572693,77874.8359,-57.3159485,120492.578,-0.00225930056,1
0.214226231,1.01496577,77847.9375,1.41197801,184.370682,77852.1406,-57.977066,120500.758,-0.00226023095,1
0.214863777,1.01478922,77827.5391,1.17956173,54.9313087,77832.0313,-58.2023392,120507.656,-0.00226028915,1
0.215501308,1.01461291,77808.0625,0.991822839,-74.676445,77812.0625,-58.3469315,120514.641,-0.00226034597,1
0.216138959,1.01444972,77790.8438,0.861441553,-204.359772,77793.5938,-58.5432281,120520.453,-0.0022596037,1
0.216777384,1.01437068,77783.7422,0.824235976,-333.653076,77784.5469,-57.9795113,120521.797,-0.00225501368,1
0.217414796,1.01434004,77783.0313,0.868482351,-462.523132,77781.1719,-57.3004875,120518.094,-0.00224710023,1
0.218051434,1.01430047,77782.1719,0.934435308,-591.388733,77776.9063,-56.9998627,120513.344,-0.0022389004,1
0.218688905,1.01427507,77783.6016,1.0008595,-720.306519,77774.1406,-56.2656708,120509.453,-0.00223068846,1
0.219326317,1.01427746,77788.6953,1.08543146,-849.073486,77774.3047,-55.582077,120503.781,-0.00222082948,1
0.21996364,1.01435328,77802.0469,1.20777583,-977.322266,77782.0234,-55.1997452,120493.445,-0.00220682588,1
0.220600352,1.01448536,77821.9219,1.35111523,-1104.98633,77795.5625,-54.8695602,120480.375,-0.00219031144,1
0.221239418,1.01461625,77842.5,1.49466228,-1233.06079,77809.0078,-54.4639206,120467.383,-0.00217370759,1
0.221878201,1.0147531,77864.5156,1.62882173,-1360.90356,77823.1328,-53.8432236,120454.531,-0.00215706695,1
0.222513735,1.01493931,77892.6406,1.76675034,-1489.03955,77842.5625,-53.1207542,120438.023,-0.00213780627,1
0.22314921,1.01517391,77926.8281,1.92533934,-1618.83691,77867.1484,-52.6191025,120416.406,-0.00211436115,1
0.223786354,1.01543927,77965.1719,2.09233999,-1749.33118,77895.0313,-52.2800064,120391.563,-0.00208933558,1
0.224424258,1.01571178,78005.125,2.2616725,-1879.78064,77923.6875,-52.0306473,120365.773,-0.00206428533,1
0.225061178,1.01598334,78045.6953,2.43109083,-2009.98413,77952.1719,-51.7670937,120340.375,-0.00203889236,1
0.225698009,1.01630783,78092.9844,2.60363817,-2140.75928,77986.4375,-51.5513458,120309.297,-0.00200989423,1
0.226334721,1.01668954,78147.4531,2.78045917,-2272.15674,78026.9219,-51.4077454,120271.945,-0.00197692914,1
0.226971388,1.0170815,78203.875,2.95816183,-2403.49609,78068.5156,-51.2904663,120233.453,-0.00194322667,1
0.227608055,1.01747346,78261.1484,3.13547373,-2534.61548,78110.1094,-51.1768074,120195.008,-0.0019095242,1
0.228244632,1.01787782,78320.7422,3.30203366,-2665.54565,78153.1719,-50.9316711,120155.016,-0.00187478948,1
0.228880987,1.01833367,78387.3672,3.42412281,-2796.36816,78202.3047,-50.1357956,120108.539,-0.00183580001,1
0.229517162,1.01883125,78459.875,3.50704312,-2927.0293,78256.3594,-48.9034195,120056.797,-0.00179335871,1
0.230153278,1.01933146,78533.5313,3.58169031,-3057.41504,78310.7188,-47.6632767,120004.719,-0.00175068807,1
0.230789393,1.01983154,78608.0313,3.65017319,-3187.51465,78365.0547,-46.4430733,119952.688,-0.00170801743,1
0.231425375,1.020365,78687,3.71714497,-3317.35938,78422.9375,-45.3192444,119897.406,-0.00166331814,1
0.232060999,1.02097523,78775.1016,3.78931618,-3446.97412,78488.9297,-44.3927002,119834.641,-0.00161399017,1
0.232696444,1.0216285,78868.7266,3.86396694,-3576.28589,78559.4844,-43.5893326,119767.688,-0.00156205357,1
0.233331859,1.02228141,78963.2031,3.93678331,-3705.23047,78630,-42.8154297,119700.758,-0.00151010789,1
0.233967155,1.02293503,79058.6563,4.00735378,-3833.79102,78700.6016,-42.063549,119633.75,-0.00145808188,1
0.234601438,1.02363324,79160.0859,4.0703001,-3962.10254,78776.1406,-41.276268,119561.359,-0.00140278193,1
0.235234186,1.02439642,79269.8438,4.12290668,-4090.17578,78858.8828,-40.4290771,119481.156,-0.00134272128,1
0.235866293,1.02518106,79382.9219,4.1704874,-4217.82568,78943.9922,-39.579628,119398.453,-0.00128109369,1
0.236498386,1.02596521,79496.8906,4.21652365,-4345.00098,79029.0469,-38.7622375,119315.859,-0.00121946679,1
0.237130672,1.02675629,79612.5313,4.26015091,-4471.62744,79114.875,-37.9671402,119232.531,-0.00115729752,1
0.237763375,1.02761376,79736.4219,4.28476715,-4596.71484,79208.0156,-37.0572968,119142.109,-0.00109040539,1
0.238396525,1.02854323,79869.1719,4.28685856,-4720.13379,79309.125,-36.0096436,119044.109,-0.00101841683,1
0.239029884,1.02948534,80004.2422,4.28239632,-4842.81641,79411.625,-34.9616089,118944.953,-0.000945511449,1
0.239663243,1.03042722,80140.2109,4.27494574,-4964.9082,79514.0781,-33.9431,118846.031,-0.000872605713,1
0.240296423,1.03138638,80279.2188,4.25111437,-5086.63184,79618.5234,-32.8496017,118745.07,-0.00079839828,1
0.240928978,1.03241765,80427.9688,4.16168213,-5208.5791,79731.1953,-31.3220139,118635.359,-0.000718974276,1
0.241561025,1.03350711,80584.8125,4.01141644,-5330.51465,79850.5156,-29.4243927,118518.828,-0.000635375502,1
