r_min,r_max,z_min,z_max
0.1784345805644989,0.2531895935535431,-0.0022603459656238556,0.04454890638589859
index,name,mean,std
0,rho,1.281679034233,0.195651352406
1,Trr,105280.796875000000,24873.107421875000
2,Trt,-295.466949462891,4116.776855468750
3,Trz,-1389.539916992188,6034.306640625000
4,Ttt,135487.781250000000,48863.449218750000
5,Tzt,29943.531250000000,19536.914062500000
6,Tzz,153725.468750000000,27058.052734375000
7,lambda,0.925881326199,0.053698807955
