epoch,total_mse,lr,mse_rho,mse_Trr,mse_Trt,mse_Trz,mse_Ttt,mse_Tzt,mse_Tzz,mse_lambda
1,1.0003058910369873,0.001,1.000413179397583,1.0000011920928955,0.9992312788963318,1.0003397464752197,1.0007095336914062,0.9995124340057373,1.0015379190444946,1.000702142715454
2500,0.005751120392233133,0.0009993154404461385,0.0034216695930808783,0.0019923863001167774,0.008610705845057964,0.011294521391391754,0.002149359555914998,0.004147151485085487,0.009879255667328835,0.004513913299888372
5000,0.0009697350324131548,0.0009972636969983579,0.0006169715197756886,0.0003433352685533464,0.0016081000212579966,0.001249654102139175,0.0003024889447260648,0.0008743014768697321,0.0012173533905297518,0.0015456750988960266
7500,0.0003325332945678383,0.0009938503371179103,0.00026353923021815717,0.0001244367886101827,0.000527902040630579,0.00023641673033125699,0.00011666151112876832,0.00022435096616391093,0.0001740881853038445,0.0009928710060194135
10000,0.00043396567343734205,0.0009890847391486168,0.00017512038175482303,8.275048458017409e-05,0.0006263508694246411,0.0006592423305846751,0.0001537628995720297,0.00034993866574950516,0.0006090449751354754,0.0008155145333148539
12500,0.0005253031849861145,0.0009829799434542656,0.000455554632935673,0.0003114099381491542,0.0005372356390580535,0.0005723863723687828,0.00021341798128560185,0.0003486039931885898,0.0006345254951156676,0.001129291602410376
15000,0.00026576092932373285,0.0009755527417361736,0.00011013319453923032,6.20272257947363e-05,0.00029634867678396404,0.0004055215395055711,6.857918197056279e-05,0.00022756450925953686,0.0003686803684104234,0.0005872329347766936
17500,0.00013138461508788168,0.0009668234090805054,6.086760186008178e-05,3.415552055230364e-05,0.0001604056596988812,0.000122856828966178,5.270328983897343e-05,0.0001021649077301845,0.00011349062697263435,0.0004044325032737106
20000,0.0002755771856755018,0.0009568159421384335,8.075607183855027e-05,4.142137913731858e-05,0.0002846753050107509,0.0005132234655320644,8.056381193455309e-05,0.00023266991775017232,0.00042436629883013666,0.0005469413008540869
22500,0.00016593206964898854,0.000945557761400938,4.4581964175449684e-05,2.498337926226668e-05,0.00018168569658882916,0.0002449611492920667,4.23580568167381e-05,0.00014482044207397848,0.00026139203691855073,0.0003826737520284951
25000,0.000146917809615843,0.0009330796814262868,3.759537503356114e-05,2.053174830507487e-05,0.00018192444986198097,0.0002262737398268655,4.571483441395685e-05,0.000126122118672356,0.00021329794253688306,0.00032388223917223513
27500,0.00013966257392894477,0.0009194159406125547,4.512749728746712e-05,2.8236359867150895e-05,0.00014624104369431734,0.00020350610429886729,3.644773460109718e-05,0.00011154569074278697,0.00018273158639203757,0.0003634645545389503
30000,0.00013983732787892222,0.0009046039927899837,5.3138886869419366e-05,3.351114719407633e-05,0.00014067285519558936,0.0001871511194622144,3.741503314813599e-05,0.00010039305198006332,0.00017966034647542983,0.00038675626274198294
32500,0.0002725891536101699,0.0008886843881309032,5.0251244829269126e-05,2.6169949705945328e-05,0.000427225895691663,0.0005044321296736598,0.00011338104377500713,0.0002490023907739669,0.0005008102161809802,0.00030944033642299473
35000,9.230215800926089e-05,0.0008717008326947689,3.4936740121338516e-05,2.439600029902067e-05,8.655414421809837e-05,8.685793727636337e-05,3.6099165299674496e-05,5.090558988740668e-05,7.449535769410431e-05,0.0003441723820287734
37500,0.00013235631922725588,0.0008536998311579227,8.713949500815943e-05,6.51066075079143e-05,0.00011405051918700337,5.3627703891834244e-05,0.00010871985432459041,0.0001054351741913706,0.00011622521560639143,0.0004085460095666349
40000,5.950902050244622e-05,0.000834730716586113,1.8639324480318464e-05,1.2715583579847589e-05,4.94742562295869e-05,3.571685010683723e-05,1.4370419194165152e-05,2.5160363293252885e-05,3.054359694942832e-05,0.00028945173835381866
42500,5.342850636225194e-05,0.0008148455313444138,1.4454900338023435e-05,1.0396101970400196e-05,4.3155159801244736e-05,2.2886491933604702e-05,1.7703563571558334e-05,1.9411072571529076e-05,2.343309643038083e-05,0.00027598769520409405
45000,5.902678822167218e-05,0.0007940987293720245,2.661434336914681e-05,1.3932604815636296e-05,4.495803659665398e-05,2.6276402422809042e-05,1.81181967491284e-05,2.195064735133201e-05,2.5364855900988914e-05,0.00029499921947717667
47500,5.407965727499686e-05,0.0007725471761822701,1.676965803198982e-05,1.0722675142460503e-05,4.364746928331442e-05,1.958786742761731e-05,1.736429112497717e-05,2.2027244995115325e-05,2.1280373402987607e-05,0.0002812376478686929
50000,0.00010894516890402883,0.00075024998511374,2.0430605218280107e-05,9.918687283061445e-06,0.00014846576959826052,0.00014804137754254043,3.9839960663812235e-05,8.387597335968167e-05,0.0001460539933759719,0.00027493498055264354
